year,name_first,name_last,ab,bb,so,obp,slg
2013,Miguel,Montero,413,51,110,.318,.344
2013,Paul,Goldschmidt,602,99,145,.401,.551
2013,Aaron,Hill,327,29,48,.356,.462
2013,Didi,Gregorius,357,37,65,.332,.373
2013,Martin,Prado,609,47,53,.333,.417
2013,Jason,Kubel,241,24,82,.288,.324
2013,A.J.,Pollock,443,33,82,.322,.409
2013,Gerardo,Parra,601,48,100,.323,.403
2013,Cody,Ross,317,25,50,.331,.413
2013,Cliff,Pennington,269,26,54,.310,.309
2013,Adam,Eaton,250,17,44,.314,.360
2013,Eric,Chavez,228,19,45,.332,.478
2013,Wil,Nieves,195,8,32,.320,.369
2013,Willie,Bloomquist,139,8,11,.360,.367
2013,Matt,Davidson,76,10,24,.333,.434
2013,Josh,Wilson,60,5,17,.262,.300
2013,Chris,Owings,55,6,10,.361,.382
2013,Eric,Hinske,52,6,17,.259,.288
2013,Tony,Campana,46,8,14,.370,.304
2013,Alfredo,Marte,43,4,12,.271,.256
2013,Tuffy,Gosewisch,45,0,8,.174,.222
2013,Patrick,Corbin,65,2,23,.162,.185
2013,Wade,Miley,60,1,16,.148,.233
2013,Trevor,Cahill,49,0,20,.082,.143
2013,Ian,Kennedy,37,2,19,.179,.189
2013,Brandon,McCarthy,37,3,15,.100,.027
2013,Randall,Delgado,32,1,13,.242,.219
2013,Tyler,Skaggs,10,0,5,.200,.200
2013,Josh,Collmenter,11,0,5,.167,.091
2013,Brad,Ziegler,2,0,0,.000,.000
2013,Zeke,Spruill,1,0,1,.000,.000
2013,Matt,Langwell,1,0,0,.000,.000
2013,Chaz,Roe,1,0,1,.000,.000
2013,David,Holmberg,1,0,1,.000,.000
2013,Eury,De,1,0,0,.000,.000
2013,Joe,Thatcher,0,0,0,0.0,0.0
2013,Heath,Bell,0,0,0,0.0,0.0
2013,David,Hernandez,0,0,0,0.0,0.0
2013,Tony,Sipp,0,0,0,0.0,0.0
2013,Will,Harris,0,0,0,0.0,0.0
2013,J.J.,Putz,0,0,0,0.0,0.0
2013,Matt,Reynolds,0,0,0,0.0,0.0
2013,Joe,Paterson,0,0,0,0.0,0.0
2013,Charles,Brewer,0,0,0,0.0,0.0
2013,Brian,McCann,356,39,66,.336,.461
2013,Freddie,Freeman,551,66,121,.396,.501
2013,Dan,Uggla,448,77,171,.309,.362
2013,Andrelton,Simmons,606,40,55,.296,.396
2013,Chris,Johnson,514,29,116,.358,.457
2013,Justin,Upton,558,75,161,.354,.464
2013,Melvin,Upton,391,44,151,.268,.289
2013,Jason,Heyward,382,48,73,.349,.427
2013,Evan,Gattis,354,21,81,.291,.480
2013,Jordan,Schafer,231,29,73,.331,.346
2013,Gerald,Laird,121,14,23,.367,.372
2013,Reed,Johnson,123,6,32,.311,.341
2013,Juan,Francisco,108,7,43,.287,.398
2013,Ramiro,Pena,97,8,18,.330,.443
2013,Elliot,Johnson,92,8,18,.317,.359
2013,Joey,Terdoslavich,79,12,24,.315,.266
2013,Paul,Janish,41,3,11,.222,.220
2013,Tyler,Pastornicky,30,1,5,.323,.333
2013,Jose,Constanza,31,0,5,.258,.258
2013,Todd,Cunningham,8,0,3,.250,.250
2013,Philip,Gosselin,6,1,2,.429,.333
2013,Blake,DeWitt,3,0,0,.333,.667
2013,Christian,Bethancourt,1,0,1,.000,.000
2013,Mike,Minor,61,2,25,.190,.230
2013,Kris,Medlen,55,4,23,.217,.255
2013,Julio,Teheran,58,2,16,.250,.276
2013,Paul,Maholm,52,1,25,.151,.173
2013,Tim,Hudson,38,4,14,.238,.263
2013,Alex,Wood,21,0,15,.000,.000
2013,Brandon,Beachy,8,1,3,.222,.125
2013,Freddy,Garcia,8,0,5,.000,.000
2013,David,Hale,4,0,3,.000,.000
2013,David,Carpenter,3,0,1,.000,.000
2013,Kameron,Loe,1,0,0,.000,.000
2013,Anthony,Varvaro,1,0,1,.000,.000
2013,Luis,Avilan,0,0,0,0.0,0.0
2013,Eric,O'Flaherty,0,0,0,0.0,0.0
2013,Cory,Gearrin,0,0,0,0.0,0.0
2013,Jordan,Walden,0,0,0,0.0,0.0
2013,Cristhian,Martinez,0,0,0,0.0,0.0
2013,Craig,Kimbrel,0,0,0,0.0,0.0
2013,Luis,Ayala,0,0,0,0.0,0.0
2013,Scott,Downs,0,0,0,0.0,0.0
2013,Cory,Rasmus,0,0,0,0.0,0.0
2013,Matt,Wieters,523,43,104,.287,.417
2013,Chris,Davis,584,72,199,.370,.634
2013,Brian,Roberts,265,26,44,.312,.392
2013,J.J.,Hardy,601,38,73,.306,.433
2013,Manny,Machado,667,29,113,.314,.432
2013,Nate,McLouth,531,53,86,.329,.399
2013,Adam,Jones,653,25,136,.318,.493
2013,Nick,Markakis,634,55,76,.329,.356
2013,Danny,Valencia,161,8,33,.335,.553
2013,Ryan,Flaherty,246,19,62,.293,.390
2013,Nolan,Reimold,128,10,41,.250,.336
2013,Steve,Pearce,119,15,25,.362,.420
2013,Alexi,Casilla,112,9,20,.268,.295
2013,Chris,Dickerson,105,4,36,.266,.400
2013,Taylor,Teagarden,60,1,18,.180,.300
2013,Henry,Urrutia,58,0,11,.276,.310
2013,Yamaico,Navarro,28,2,8,.333,.357
2013,Mike,Morse,29,1,7,.133,.103
2013,Chris,Snyder,20,4,7,.250,.100
2013,Travis,Ishikawa,17,1,8,.167,.118
2013,Steve,Clevenger,15,0,2,.267,.333
2013,Jonathan,Schoop,14,1,2,.333,.500
2013,Jason,Pridie,10,0,2,.200,.200
2013,Wilson,Betemit,10,0,3,.000,.000
2013,Dan,Johnson,5,0,1,.000,.000
2013,L.J.,Hoes,3,0,1,.000,.000
2013,Chris,Tillman,5,0,1,.000,.000
2013,Jason,Hammel,3,0,2,.000,.000
2013,Miguel,Gonzalez,3,0,1,.000,.000
2013,Scott,Feldman,3,0,1,.000,.000
2013,Bud,Norris,3,0,0,.667,.667
2013,Wei-Yin,Chen,2,0,0,.000,.000
2013,Kevin,Gausman,1,0,1,.000,.000
2013,Darren,O'Day,1,0,1,.000,.000
2013,Troy,Patton,1,0,0,.000,.000
2013,Jim,Johnson,0,0,0,0.0,0.0
2013,Zach,Clark,0,0,0,0.0,0.0
2013,Zach,Britton,0,0,0,0.0,0.0
2013,Jake,Arrieta,0,0,0,0.0,0.0
2013,Brian,Matusz,0,0,0,0.0,0.0
2013,Francisco,Rodriguez,0,0,0,0.0,0.0
2013,Steve,Johnson,0,0,0,0.0,0.0
2013,T.J.,McFarland,0,0,0,0.0,0.0
2013,Alex,Burnett,0,0,0,0.0,0.0
2013,Jair,Jurrjens,0,0,0,0.0,0.0
2013,Tommy,Hunter,0,0,0,0.0,0.0
2013,Josh,Stinson,0,0,0,0.0,0.0
2013,Freddy,Garcia,0,0,0,0.0,0.0
2013,Luis,Ayala,0,0,0,0.0,0.0
2013,Jairo,Asencio,0,0,0,0.0,0.0
2013,Mike,Belfiore,0,0,0,0.0,0.0
2013,Pedro,Strop,0,0,0,0.0,0.0
2013,Jarrod,Saltalamacchia,425,43,139,.338,.466
2013,Mike,Napoli,498,73,187,.360,.482
2013,Dustin,Pedroia,641,73,75,.372,.415
2013,Stephen,Drew,442,54,124,.333,.443
2013,Will,Middlebrooks,348,20,98,.271,.425
2013,Jonny,Gomes,312,43,89,.344,.426
2013,Jacoby,Ellsbury,577,47,92,.355,.426
2013,Shane,Victorino,477,25,75,.351,.451
2013,David,Ortiz,518,76,88,.395,.564
2013,Daniel,Nava,458,51,93,.385,.445
2013,Mike,Carp,216,22,67,.362,.523
2013,Jose,Iglesias,215,11,30,.376,.409
2013,David,Ross,102,11,42,.298,.382
2013,Jackie,Bradley,95,10,31,.280,.337
2013,Ryan,Lavarnway,77,2,17,.329,.429
2013,Brock,Holt,59,7,4,.275,.237
2013,Pedro,Ciriaco,51,6,12,.293,.353
2013,Brandon,Snyder,50,0,16,.212,.360
2013,Xander,Bogaerts,44,5,13,.320,.364
2013,John,McDonald,8,1,3,.333,.250
2013,Quintin,Berry,8,1,2,.667,1.000
2013,Jonathan,Diaz,4,0,0,.000,.000
2013,Jake,Peavy,9,0,0,.111,.222
2013,Jon,Lester,6,0,4,.000,.000
2013,John,Lackey,5,0,3,.000,.000
2013,Felix,Doubront,3,0,1,.000,.000
2013,Franklin,Morales,2,0,2,.000,.000
2013,Clayton,Mortensen,1,0,1,.000,.000
2013,Brayan,Villarreal,0,0,0,0.0,0.0
2013,Joel,Hanrahan,0,0,0,0.0,0.0
2013,Craig,Breslow,0,0,0,0.0,0.0
2013,Steven,Wright,0,0,0,0.0,0.0
2013,Andrew,Miller,0,0,0,0.0,0.0
2013,Clay,Buchholz,0,0,0,0.0,0.0
2013,Jose,De,0,0,0,0.0,0.0
2013,Koji,Uehara,0,0,0,0.0,0.0
2013,Andrew,Bailey,0,0,0,0.0,0.0
2013,Brandon,Workman,0,0,0,0.0,0.0
2013,Junichi,Tazawa,0,0,0,0.0,0.0
2013,Pedro,Beato,0,0,0,0.0,0.0
2013,Alfredo,Aceves,0,0,0,0.0,0.0
2013,Daniel,Bard,0,0,0,0.0,0.0
2013,Rubby,De,0,0,0,0.0,0.0
2013,Alex,Wilson,0,0,0,0.0,0.0
2013,Ryan,Dempster,0,0,0,0.0,0.0
2013,Allen,Webster,0,0,0,0.0,0.0
2013,Matt,Thornton,0,0,0,0.0,0.0
2013,Drake,Britton,0,0,0,0.0,0.0
2013,Welington,Castillo,380,34,97,.349,.397
2013,Anthony,Rizzo,606,76,127,.323,.419
2013,Darwin,Barney,501,36,64,.266,.303
2013,Starlin,Castro,666,30,129,.284,.347
2013,Luis,Valbuena,331,53,63,.331,.378
2013,Alfonso,Soriano,362,15,89,.287,.467
2013,David,DeJesus,284,29,55,.330,.401
2013,Nate,Schierholtz,462,29,94,.301,.470
2013,Dioner,Navarro,240,23,36,.365,.492
2013,Junior,Lake,236,13,68,.332,.428
2013,Ryan,Sweeney,192,17,31,.324,.448
2013,Cody,Ransom,158,22,57,.304,.449
2013,Donnie,Murphy,149,8,48,.319,.530
2013,Brian,Bogusevic,143,10,35,.323,.462
2013,Julio,Borbon,104,12,22,.284,.279
2013,Scott,Hairston,99,7,25,.232,.434
2013,Dave,Sappelt,75,3,14,.269,.280
2013,Cole,Gillespie,50,6,13,.328,.280
2013,Darnell,McDonald,53,4,8,.351,.434
2013,Logan,Watkins,38,3,14,.268,.237
2013,Alberto,Gonzalez,23,2,6,.269,.391
2013,Brent,Lillibridge,24,0,9,.042,.042
2013,J.C.,Boscan,9,0,2,.300,.333
2013,Steve,Clevenger,8,1,3,.222,.125
2013,Thomas,Neal,4,0,0,.000,.000
2013,Jeff,Samardzija,62,1,31,.127,.194
2013,Travis,Wood,63,3,21,.258,.381
2013,Edwin,Jackson,52,2,17,.111,.154
2013,Scott,Feldman,34,0,12,.176,.324
2013,Carlos,Villanueva,32,0,15,.156,.156
2013,Chris,Rusin,19,0,3,.105,.105
2013,Matt,Garza,18,0,9,.263,.278
2013,Jake,Arrieta,15,0,10,.133,.133
2013,Brooks,Raley,3,0,1,.000,.000
2013,Scott,Baker,3,0,2,.000,.000
2013,Kameron,Loe,0,0,0,0.0,0.0
2013,Eduardo,Sanchez,0,0,0,0.0,0.0
2013,Justin,Grimm,0,0,0,0.0,0.0
2013,Alberto,Cabrera,0,0,0,0.0,0.0
2013,Kevin,Gregg,0,0,0,0.0,0.0
2013,Michael,Bowden,0,0,0,0.0,0.0
2013,Hisanori,Takahashi,0,0,0,0.0,0.0
2013,Zach,Putnam,0,0,0,0.0,0.0
2013,Alex,Burnett,0,0,0,0.0,0.0
2013,Shawn,Camp,0,0,0,0.0,0.0
2013,Matt,Guerrier,0,0,0,0.0,0.0
2013,James,Russell,0,0,0,0.0,0.0
2013,Zac,Rosscup,0,0,0,0.0,0.0
2013,Carlos,Marmol,0,0,0,0.0,0.0
2013,Henry,Rodriguez,0,0,0,0.0,0.0
2013,Chang-Yong,Lim,0,0,0,0.0,0.0
2013,Rafael,Dolis,0,0,0,0.0,0.0
2013,Kyuji,Fujikawa,0,0,0,0.0,0.0
2013,Blake,Parker,0,0,0,0.0,0.0
2013,Pedro,Strop,0,0,0,0.0,0.0
2013,Hector,Rondon,0,0,0,0.0,0.0
2013,Tyler,Flowers,256,14,94,.247,.355
2013,Paul,Konerko,467,45,74,.313,.355
2013,Gordon,Beckham,371,28,56,.322,.372
