pitcher_id,StartVsRelief,games_played
112526,Starter,18
276351,Reliever,25
276542,Reliever,13
279571,Reliever,29
282332,Starter,17
285064,Starter,19
285079,Starter,16
407793,Starter,16
407822,Starter,19
407845,Reliever,24
407890,Starter,22
407908,Reliever,32
408061,Reliever,28
408241,Starter,20
424144,Reliever,24
425426,Reliever,18
425492,Reliever,47
425626,Reliever,41
425657,Reliever,22
425794,Starter,26
425844,Starter,24
425856,Reliever,35
429719,Reliever,13
429722,Starter,13
429780,Reliever,24
430580,Starter,25
430589,Reliever,34
430599,Reliever,36
430641,Reliever,40
430661,Reliever,22
430912,Starter,26
430935,Starter,22
431148,Starter,26
432934,Starter,14
433579,Starter,19
433586,Reliever,29
433587,Starter,25
433589,Reliever,15
434137,Reliever,9
434378,Starter,20
434442,Reliever,27
434538,Starter,24
434622,Starter,22
434628,Starter,19
434671,Starter,23
434718,Reliever,18
435043,Reliever,41
444436,Reliever,21
444468,Reliever,15
444520,Reliever,43
444857,Starter,28
445060,Starter,20
445276,Reliever,18
445926,Reliever,24
445968,Reliever,23
446099,Reliever,32
446321,Reliever,18
446372,Starter,20
446399,Reliever,58
446899,Reliever,32
447714,Reliever,21
448178,Reliever,23
448179,Starter,23
448281,Reliever,28
448306,Starter,25
448609,Reliever,28
448614,Reliever,29
448802,Starter,29
449097,Reliever,31
449104,Reliever,33
450172,Starter,18
450203,Starter,15
450212,Reliever,28
450275,Reliever,18
450282,Reliever,8
450308,Starter,21
450665,Starter,20
450729,Starter,13
451085,Reliever,11
451584,Reliever,20
451596,Starter,16
451661,Reliever,33
451775,Reliever,29
452657,Starter,26
452666,Reliever,28
453178,Starter,20
453192,Reliever,24
453214,Starter,12
453249,Reliever,23
453265,Reliever,24
453286,Starter,25
453329,Starter,25
453343,Reliever,21
453385,Reliever,9
453562,Starter,16
453646,Reliever,35
455009,Reliever,30
455374,Reliever,29
456027,Reliever,30
456034,Starter,23
456068,Starter,5
456124,Reliever,4
456167,Starter,17
456501,Starter,22
456696,Reliever,37
457429,Reliever,35
457732,Reliever,6
457768,Reliever,30
457779,Reliever,3
457918,Starter,23
458006,Reliever,32
458537,Reliever,14
458584,Reliever,24
458677,Reliever,36
458678,Reliever,13
458708,Starter,13
459429,Reliever,24
459987,Starter,5
460024,Reliever,30
460059,Starter,16
460283,Reliever,26
460701,Reliever,30
461325,Reliever,34
461829,Starter,17
461833,Starter,25
462136,Starter,17
462382,Reliever,46
462985,Reliever,4
465657,Reliever,42
467008,Reliever,26
467100,Reliever,17
468396,Reliever,39
468504,Starter,24
471822,Reliever,26
471911,Starter,15
472551,Reliever,38
472610,Reliever,2
473879,Reliever,28
474029,Reliever,23
474284,Reliever,29
474521,Reliever,31
474668,Starter,20
474699,Starter,21
475115,Starter,5
475138,Reliever,4
475243,Reliever,21
475479,Reliever,46
476451,Starter,25
476454,Reliever,22
476589,Reliever,24
