pitcher_id,game_id,StartVsRelief,pitch_count
112526,gid_2016_04_03_nynmlb_kcamlb_1,Starter,20
112526,gid_2016_04_09_phimlb_nynmlb_1,Starter,90
112526,gid_2016_04_15_nynmlb_clemlb_1,Starter,97
112526,gid_2016_04_20_nynmlb_phimlb_1,Starter,90
112526,gid_2016_04_26_cinmlb_nynmlb_1,Starter,86
276351,gid_2016_04_04_wasmlb_atlmlb_1,Reliever,21
276351,gid_2016_04_09_slnmlb_atlmlb_1,Reliever,26
276351,gid_2016_04_11_atlmlb_wasmlb_1,Reliever,15
276351,gid_2016_04_16_atlmlb_miamlb_1,Reliever,20
276351,gid_2016_04_17_atlmlb_miamlb_1,Reliever,12
276351,gid_2016_04_20_lanmlb_atlmlb_1,Reliever,22
276351,gid_2016_04_22_nynmlb_atlmlb_1,Reliever,6
276351,gid_2016_04_24_nynmlb_atlmlb_1,Reliever,22
276351,gid_2016_04_27_atlmlb_bosmlb_1,Reliever,15
276542,gid_2016_04_06_seamlb_texmlb_1,Reliever,20
276542,gid_2016_04_08_oakmlb_seamlb_1,Reliever,20
276542,gid_2016_04_16_seamlb_nyamlb_1,Reliever,20
276542,gid_2016_04_20_seamlb_clemlb_1,Reliever,7
276542,gid_2016_04_21_seamlb_clemlb_1,Reliever,21
279571,gid_2016_04_07_miamlb_wasmlb_1,Reliever,20
279571,gid_2016_04_11_atlmlb_wasmlb_1,Reliever,6
279571,gid_2016_04_16_wasmlb_phimlb_1,Reliever,16
279571,gid_2016_04_18_wasmlb_miamlb_1,Reliever,10
279571,gid_2016_04_21_wasmlb_miamlb_1,Reliever,20
279571,gid_2016_04_24_minmlb_wasmlb_1,Reliever,14
279571,gid_2016_04_26_phimlb_wasmlb_1,Reliever,3
282332,gid_2016_04_09_nyamlb_detmlb_1,Starter,90
282332,gid_2016_04_16_seamlb_nyamlb_1,Starter,95
282332,gid_2016_04_22_tbamlb_nyamlb_1,Starter,80
282332,gid_2016_04_27_nyamlb_texmlb_1,Starter,90
285064,gid_2016_04_08_pitmlb_cinmlb_1,Starter,39
285064,gid_2016_04_13_detmlb_pitmlb_1,Starter,66
285064,gid_2016_04_19_pitmlb_sdnmlb_1,Starter,49
285064,gid_2016_04_24_pitmlb_arimlb_1,Starter,34
285064,gid_2016_04_27_pitmlb_colmlb_1,Starter,14
285079,gid_2016_04_04_tormlb_tbamlb_1,Starter,82
285079,gid_2016_04_09_bosmlb_tormlb_1,Starter,101
285079,gid_2016_04_15_tormlb_bosmlb_1,Starter,106
285079,gid_2016_04_20_tormlb_balmlb_1,Starter,94
285079,gid_2016_04_26_chamlb_tormlb_1,Starter,97
407793,gid_2016_04_07_chnmlb_arimlb_1,Starter,84
407793,gid_2016_04_13_cinmlb_chnmlb_1,Starter,90
407793,gid_2016_04_18_chnmlb_slnmlb_1,Starter,91
407793,gid_2016_04_23_chnmlb_cinmlb_1,Starter,95
407822,gid_2016_04_04_colmlb_arimlb_1,Starter,94
407822,gid_2016_04_09_sdnmlb_colmlb_1,Starter,97
407822,gid_2016_04_14_sfnmlb_colmlb_1,Starter,102
407822,gid_2016_04_19_colmlb_cinmlb_1,Starter,63
407822,gid_2016_04_26_pitmlb_colmlb_1,Starter,73
407845,gid_2016_04_05_lanmlb_sdnmlb_1,Reliever,20
407845,gid_2016_04_11_sdnmlb_phimlb_1,Reliever,12
407845,gid_2016_04_15_arimlb_sdnmlb_1,Reliever,16
407845,gid_2016_04_16_arimlb_sdnmlb_1,Reliever,23
407845,gid_2016_04_19_pitmlb_sdnmlb_1,Reliever,15
407845,gid_2016_04_22_slnmlb_sdnmlb_1,Reliever,20
407845,gid_2016_04_27_sdnmlb_sfnmlb_1,Reliever,24
407845,gid_2016_04_30_sdnmlb_lanmlb_1,Reliever,13
407890,gid_2016_04_06_seamlb_texmlb_1,Starter,96
407890,gid_2016_04_11_texmlb_seamlb_1,Starter,90
407890,gid_2016_04_16_balmlb_texmlb_1,Starter,104
407890,gid_2016_04_23_texmlb_chamlb_1,Starter,105
407890,gid_2016_04_29_anamlb_texmlb_1,Starter,80
407908,gid_2016_04_05_seamlb_texmlb_1,Reliever,20
407908,gid_2016_04_08_oakmlb_seamlb_1,Reliever,9
407908,gid_2016_04_10_oakmlb_seamlb_1,Reliever,19
407908,gid_2016_04_13_texmlb_seamlb_1,Reliever,13
407908,gid_2016_04_15_seamlb_nyamlb_1,Reliever,10
407908,gid_2016_04_20_seamlb_clemlb_1,Reliever,14
407908,gid_2016_04_21_seamlb_clemlb_1,Reliever,19
407908,gid_2016_04_22_seamlb_anamlb_1,Reliever,20
407908,gid_2016_04_25_houmlb_seamlb_1,Reliever,20
408061,gid_2016_04_05_detmlb_miamlb_1,Reliever,19
408061,gid_2016_04_06_detmlb_miamlb_1,Reliever,12
