count,StarterVsCloser
3,Starter
3,Reliever
4,Reliever
5,Starter
3,Starter
4,Starter
3,Starter
5,Starter
3,Reliever
3,Reliever
6,Starter
3,Starter
3,Starter
4,Reliever
4,Starter
5,Starter
3,Starter
4,Reliever
3,Starter
3,Starter
4,Starter
4,Starter
5,Starter
3,Starter
5,Starter
3,Reliever
3,Starter
6,Starter
3,Reliever
4,Reliever
6,Starter
3,Starter
3,Reliever
4,Reliever
5,Starter
4,Reliever
3,Starter
5,Starter
4,Starter
3,Reliever
3,Starter
3,Starter
4,Reliever
4,Starter
3,Starter
5,Starter
3,Reliever
7,Starter
2,Reliever
3,Reliever
4,Starter
4,Reliever
5,Starter
5,Starter
5,Starter
3,Starter
3,Starter
3,Reliever
4,Starter
3,Reliever
3,Reliever
3,Starter
3,Starter
5,Starter
4,Reliever
3,Reliever
3,Reliever
3,Reliever
3,Starter
4,Reliever
5,Reliever
4,Starter
6,Starter
3,Starter
4,Starter
2,Reliever
5,Starter
4,Starter
3,Reliever
3,Starter
6,Starter
5,Reliever
4,Starter
4,Reliever
3,Starter
3,Starter
4,Reliever
4,Reliever
6,Starter
3,Starter
3,Starter
5,Starter
4,Starter
3,Starter
3,Reliever
3,Reliever
3,Starter
3,Starter
4,Starter
5,Starter
3,Reliever
5,Starter
3,Starter
4,Reliever
3,Starter
3,Starter
4,Starter
4,Starter
3,Starter
4,Starter
3,Reliever
4,Starter
5,Starter
2,Reliever
3,Reliever
3,Reliever
3,Starter
3,Reliever
3,Starter
5,Starter
3,Reliever
4,Starter
4,Reliever
4,Starter
3,Starter
4,Starter
3,Starter
3,Starter
5,Starter
3,Reliever
3,Starter
5,Starter
4,Reliever
3,Starter
4,Reliever
3,Starter
3,Starter
4,Starter
3,Reliever
5,Starter
3,Starter
5,Starter
5,Starter
4,Starter
7,Starter
6,Starter
3,Reliever
3,Reliever
3,Starter
5,Starter
5,Starter
4,Reliever
5,Starter
2,Starter
3,Starter
5,Starter
2,Reliever
4,Reliever
3,Starter
3,Reliever
4,Starter
3,Starter
4,Reliever
3,Starter
3,Reliever
4,Starter
3,Starter
3,Reliever
4,Starter
5,Starter
5,Starter
3,Starter
3,Starter
5,Starter
4,Starter
6,Starter
