batter_id,count
116380,3
116539,3
120074,1
133380,9
134181,6
136860,5
150029,19
150093,3
150229,19
150289,3
150359,4
218596,1
276519,14
346795,3
346798,2
346857,2
346874,6
400085,21
400284,17
405395,5
406878,3
407781,16
407793,2
407812,16
407822,2
407862,3
407885,1
407890,3
408045,3
408047,3
408236,12
408252,5
408299,1
408314,11
421124,3
421685,5
424144,1
424325,2
424825,3
425491,1
425496,2
425509,7
425532,2
425560,10
425567,4
425766,3
425783,7
425784,7
425796,8
425834,14
425877,9
429400,1
429664,3
429665,4
429667,26
429713,11
429722,3
430321,3
430404,8
430580,1
430611,3
430637,4
430652,3
430832,9
430897,6
430910,3
430912,2
430945,3
430947,9
430948,8
431094,2
431145,6
431148,1
431171,9
433217,9
433584,2
434158,4
434540,6
434563,14
434604,8
434636,8
434658,3
434661,3
434670,2
434778,6
435041,6
435062,9
435063,7
435078,1
435180,1
435219,1
435263,8
435522,11
435559,3
435622,15
435623,4
444379,5
444482,6
444489,3
444843,6
444876,4
445055,9
445988,27
446263,5
446308,2
446334,6
446359,6
446381,3
446386,3
446481,2
446653,5
448170,3
448242,1
448296,3
448306,2
448602,5
448801,3
448802,1
449181,2
450172,2
450203,2
450314,8
451532,2
451594,3
451705,2
452104,11
452220,1
452234,5
452252,5
452254,11
452655,13
452657,2
452678,13
453056,8
453064,3
453178,1
453286,4
453400,6
453562,2
453568,9
453923,11
453943,5
454560,5
454975,1
455104,3
455117,2
455126,2
455139,3
455369,3
455755,8
455976,20
456078,5
456124,3
456422,8
456488,3
456655,3
456665,4
456715,6
456781,9
457454,5
457477,2
457705,8
457706,4
457708,9
457727,6
457759,13
457763,9
457787,11
457789,3
457803,10
457918,2
458015,6
458085,6
458582,9
458681,3
458731,12
458913,9
459431,6
459964,7
460026,3
460060,5
460075,13
460086,2
460131,2
460576,10
461235,4
461314,12
461416,5
461829,6
461865,3
462101,6
462405,1
462564,7
463610,3
465041,3
465784,6
466320,1
466988,1
467055,7
467092,17
467100,3
467143,2
467793,7
467827,8
468406,2
471083,11
471865,8
472528,2
474233,3
474319,1
474443,2
474568,10
474832,8
474892,3
475115,1
475174,8
475253,12
475479,4
475582,13
476451,6
476704,4
476883,7
477132,8
477165,3
477195,6
485567,5
488681,3
488689,3
488721,9
488768,2
488810,3
488818,4
488862,3
489138,5
489149,3
489232,3
489267,2
489305,3
489334,1
491696,2
492802,2
493114,5
493316,6
493329,3
493343,6
493351,3
499624,3
500207,3
500208,8
500743,9
500871,3
501303,1
501647,3
501800,5
501896,6
501981,3
501983,4
501986,2
502009,2
502032,3
502054,3
502100,7
502110,3
502125,3
502126,14
502210,6
502239,2
502261,1
502317,1
502481,1
502517,10
502582,1
502624,4
502671,11
504379,3
506560,7
506693,3
514888,6
514917,23
516416,9
516589,1
516770,9
516782,6
516910,1
516949,3
517369,3
517370,8
518466,1
518516,2
518586,2
518595,2
518614,6
518618,15
518626,11
518692,25
518735,10
518792,21
518794,3
518934,5
518953,2
518960,6
519023,3
519043,1
519058,4
519068,2
519076,4
519083,3
519184,24
519203,9
519208,2
519237,17
519299,4
519306,3
519317,12
519346,5
519390,3
519455,3
520471,26
521692,3
523253,5
523265,1
527054,2
534627,3
541645,3
541650,8
542194,3
542255,12
542303,20
542340,10
542436,1
542908,3
542963,3
542979,6
543045,2
543063,10
543135,2
543216,1
543228,5
543257,3
543281,13
543294,2
543305,2
543308,2
543333,4
543376,3
543401,6
543408,1
543543,6
543590,3
543685,18
543699,4
543760,3
543768,3
543776,3
543807,3
543829,25
543901,1
543939,12
544369,7
544371,1
544725,4
545341,6
545350,3
545358,3
545361,3
546318,26
547180,19
547912,3
547943,1
547982,3
548357,2
553988,2
553993,5
554234,2
554429,3
570256,9
570267,3
570560,3
570717,3
571431,9
571437,15
571448,8
571466,4
571506,17
571527,1
571602,3
571681,1
571697,8
571740,6
571757,1
571771,8
571825,3
571830,8
571875,10
571946,2
571976,8
571980,2
572000,2
572008,9
572019,2
572041,6
572114,2
572122,3
572128,3
572138,3
572180,3
572182,5
572191,8
572365,7
572761,10
572816,6
572821,3
572876,2
573131,7
573135,3
573185,2
575929,6
576397,5
581527,3
588751,14
591712,3
591720,2
591741,3
592178,8
592206,3
592273,8
592314,2
592387,3
592407,2
592444,2
592450,4
592518,4
592592,4
592593,2
592626,8
592662,5
592663,18
592669,5
592696,3
592743,23
592826,2
592885,28
593160,3
593372,3
593495,4
593647,3
593700,3
593871,3
594777,6
594798,4
594807,5
594824,3
594828,6
594988,2
595025,1
595144,3
595191,4
595281,3
595284,2
595375,2
595879,4
595885,2
595978,4
596019,7
596059,7
596112,1
596115,2
596142,8
596146,3
596748,17
600303,3
600474,1
600869,3
601713,2
605125,18
605137,3
605141,1
605222,2
605232,2
605388,2
605412,6
605480,7
605486,3
605540,2
605548,2
605894,2
606115,5
606131,2
606192,2
606299,3
607054,19
607208,3
607231,1
607309,1
607345,3
607374,2
607680,10
608061,2
608070,4
608324,3
608336,4
608337,1
608365,6
608369,7
608577,4
608671,3
608701,3
611177,12
620446,3
621020,4
621035,3
621043,3
621244,1
621311,2
621439,2
622072,5
622110,6
622194,3
622534,6
624424,3
624428,3
624577,13
628356,5
630111,5
640449,2
641319,2
641355,2
641553,3
643265,2
649557,3
656305,3
656941,1
