train_test,pitch_type,count,pitches_thrown,percent,pitcher_id
test,CH,169,985,17.16,516969
test,FF,350,985,35.53,516969
test,FT,322,985,32.69,516969
test,SL,144,985,14.62,516969
train,CH,375,2386,15.72,516969
train,CU,62,2386,2.6,516969
train,FF,929,2386,38.94,516969
train,FT,711,2386,29.8,516969
train,IN,3,2386,0.13,516969
train,PO,1,2386,0.04,516969
train,SL,302,2386,12.66,516969
train,UN,3,2386,0.13,516969
test,CH,207,1550,13.35,501381
test,FF,741,1550,47.81,501381
test,FT,12,1550,0.77,501381
test,PO,2,1550,0.13,501381
test,SL,588,1550,37.94,501381
train,CH,482,5565,8.66,501381
train,CU,2,5565,0.04,501381
train,FC,348,5565,6.25,501381
train,FF,2562,5565,46.04,501381
train,FT,66,5565,1.19,501381
train,IN,4,5565,0.07,501381
train,SL,2101,5565,37.75,501381
test,CH,112,882,12.7,572096
test,FF,652,882,73.92,572096
test,FT,3,882,0.34,572096
test,SL,115,882,13.04,572096
train,CH,306,2103,14.55,572096
train,CU,31,2103,1.47,572096
train,FA,1,2103,0.05,572096
train,FF,1576,2103,74.94,572096
train,FT,31,2103,1.47,572096
train,IN,13,2103,0.62,572096
train,PO,2,2103,0.1,572096
train,SL,143,2103,6.8,572096
test,CH,160,909,17.6,519322
test,FF,145,909,15.95,519322
test,SI,253,909,27.83,519322
test,SL,351,909,38.61,519322
train,CH,273,1728,15.8,519322
train,FF,305,1728,17.65,519322
train,IN,12,1728,0.69,519322
train,SI,515,1728,29.8,519322
train,SL,623,1728,36.05,519322
