game_id,pitch_type,pitch_type_count,pitch_count,percentage,year
gid_2014_04_02_wasmlb_nynmlb_1,CH,5,110,4.55,2014
gid_2014_04_02_wasmlb_nynmlb_1,FF,46,110,41.82,2014
gid_2014_04_02_wasmlb_nynmlb_1,FT,56,110,50.91,2014
gid_2014_04_02_wasmlb_nynmlb_1,SL,3,110,2.73,2014
gid_2014_04_08_nynmlb_atlmlb_1,CH,4,101,3.96,2014
gid_2014_04_08_nynmlb_atlmlb_1,FF,38,101,37.62,2014
gid_2014_04_08_nynmlb_atlmlb_1,FT,50,101,49.5,2014
gid_2014_04_08_nynmlb_atlmlb_1,SL,9,101,8.91,2014
gid_2014_04_13_nynmlb_anamlb_1,CH,10,81,12.35,2014
gid_2014_04_13_nynmlb_anamlb_1,FF,26,81,32.1,2014
gid_2014_04_13_nynmlb_anamlb_1,FT,41,81,50.62,2014
gid_2014_04_13_nynmlb_anamlb_1,SL,4,81,4.94,2014
gid_2014_04_19_atlmlb_nynmlb_1,CH,3,104,2.88,2014
gid_2014_04_19_atlmlb_nynmlb_1,FF,19,104,18.27,2014
gid_2014_04_19_atlmlb_nynmlb_1,FT,76,104,73.08,2014
gid_2014_04_19_atlmlb_nynmlb_1,SL,6,104,5.77,2014
gid_2014_04_24_slnmlb_nynmlb_1,CH,6,104,5.77,2014
gid_2014_04_24_slnmlb_nynmlb_1,FF,38,104,36.54,2014
gid_2014_04_24_slnmlb_nynmlb_1,FT,53,104,50.96,2014
gid_2014_04_24_slnmlb_nynmlb_1,SL,7,104,6.73,2014
gid_2014_05_01_nynmlb_colmlb_1,CH,8,82,9.76,2014
gid_2014_05_01_nynmlb_colmlb_1,FF,30,82,36.59,2014
gid_2014_05_01_nynmlb_colmlb_1,FT,39,82,47.56,2014
gid_2014_05_01_nynmlb_colmlb_1,SL,5,82,6.1,2014
gid_2014_05_06_nynmlb_miamlb_1,CH,6,90,6.67,2014
gid_2014_05_06_nynmlb_miamlb_1,FF,30,90,33.33,2014
gid_2014_05_06_nynmlb_miamlb_1,FT,47,90,52.22,2014
gid_2014_05_06_nynmlb_miamlb_1,SL,7,90,7.78,2014
gid_2014_05_12_nynmlb_nyamlb_1,CH,9,91,9.89,2014
gid_2014_05_12_nynmlb_nyamlb_1,FF,26,91,28.57,2014
gid_2014_05_12_nynmlb_nyamlb_1,FT,53,91,58.24,2014
gid_2014_05_12_nynmlb_nyamlb_1,SL,3,91,3.3,2014
gid_2014_05_17_nynmlb_wasmlb_1,CH,10,105,9.52,2014
gid_2014_05_17_nynmlb_wasmlb_1,FF,29,105,27.62,2014
gid_2014_05_17_nynmlb_wasmlb_1,FT,48,105,45.71,2014
gid_2014_05_17_nynmlb_wasmlb_1,SL,18,105,17.14,2014
gid_2014_05_23_arimlb_nynmlb_1,CH,6,67,8.96,2014
gid_2014_05_23_arimlb_nynmlb_1,FF,19,67,28.36,2014
gid_2014_05_23_arimlb_nynmlb_1,FT,29,67,43.28,2014
gid_2014_05_23_arimlb_nynmlb_1,SL,13,67,19.4,2014
gid_2014_05_28_pitmlb_nynmlb_1,CH,10,121,8.26,2014
gid_2014_05_28_pitmlb_nynmlb_1,FF,29,121,23.97,2014
gid_2014_05_28_pitmlb_nynmlb_1,FT,64,121,52.89,2014
gid_2014_05_28_pitmlb_nynmlb_1,IN,4,121,3.31,2014
gid_2014_05_28_pitmlb_nynmlb_1,SL,14,121,11.57,2014
gid_2014_06_02_nynmlb_phimlb_1,CH,7,110,6.36,2014
gid_2014_06_02_nynmlb_phimlb_1,FF,27,110,24.55,2014
gid_2014_06_02_nynmlb_phimlb_1,FT,63,110,57.27,2014
gid_2014_06_02_nynmlb_phimlb_1,SL,13,110,11.82,2014
gid_2014_06_07_nynmlb_sfnmlb_1,CH,8,93,8.6,2014
gid_2014_06_07_nynmlb_sfnmlb_1,FF,14,93,15.05,2014
gid_2014_06_07_nynmlb_sfnmlb_1,FT,49,93,52.69,2014
gid_2014_06_07_nynmlb_sfnmlb_1,SL,22,93,23.66,2014
