train_test,pitch_type,count,pitches_thrown,percent,pitcher_id
test,CH,382,2631,14.52,488768
test,CU,223,2631,8.48,488768
test,FF,156,2631,5.93,488768
test,FT,1558,2631,59.22,488768
test,SL,312,2631,11.86,488768
train,CH,558,5542,10.07,488768
train,CU,39,5542,0.7,488768
train,FF,2403,5542,43.36,488768
train,FT,1205,5542,21.74,488768
train,IN,16,5542,0.29,488768
train,SL,1321,5542,23.84,488768
test,FF,707,1272,55.58,592102
test,KC,565,1272,44.42,592102
train,CH,9,2495,0.36,592102
train,FF,1509,2495,60.48,592102
train,FT,47,2495,1.88,592102
train,IN,12,2495,0.48,592102
train,KC,417,2495,16.71,592102
train,SL,501,2495,20.08,592102
test,CH,38,1005,3.78,547973
test,FF,773,1005,76.92,547973
test,SL,194,1005,19.3,547973
train,CH,912,2391,38.14,547973
train,CU,5,2391,0.21,547973
train,FF,865,2391,36.18,547973
train,FT,209,2391,8.74,547973
train,IN,2,2391,0.08,547973
train,SL,398,2391,16.65,547973
test,FC,308,502,61.35,453343
test,FF,67,502,13.35,453343
test,FS,1,502,0.2,453343
test,KC,126,502,25.1,453343
train,CH,7,2175,0.32,453343
train,CU,317,2175,14.57,453343
train,FC,641,2175,29.47,453343
train,FF,897,2175,41.24,453343
train,FS,3,2175,0.14,453343
train,FT,2,2175,0.09,453343
train,IN,12,2175,0.55,453343
train,KC,296,2175,13.61,453343
