group,count
FF,71
CH-FT,22
SL,64
FF-FT,40
CH,81
FT,45
CU,63
,14
FF-SI,6
CH-FC,3
CU-SL,40
CH-KN,1
EP,2
CU-FC-SL,5
FC-SL,19
CH-FS,11
FF-SL,2
CH-FF,5
SI,16
CU-EP,1
CH-FF-FT,11
FC,21
CU-KC,16
CH-FC-SL,4
FC-FF,22
FC-FF-FT,8
CH-SI,11
FC-FF-SL,1
FS,4
CH-KC-SL,1
CU-KC-SL,11
CU-EP-KC,1
FS-SL,1
FT-SI,4
CH-FF-FT-SI,2
CH-SL,4
KC,2
CH-FS-FT,1
CH-CU,2
CH-CU-SL,2
CU-FS-SL,2
FT-SL,1
KC-SL,5
CH-FT-SI,2
CU-FT-SI,1
CH-FC-FS-SL,1
CU-EP-SL,2
CH-SC,1
FF-FT-SI,3
CU-FC-KC-SL,1
CH-CU-FC-SL,1
CH-EP,1
FC-FT,1
CH-FO,1
CH-CU-FF-FT,1
FC-FS-SL,1
FS-FT,1
