count,thresehold
7946,0.0
2495,0.0
2724,0.0
2192,0.0
8242,0.0
8985,0.0
9113,0.0
5670,0.0
3253,0.0
2090,0.0
9260,0.0
3566,0.0
7940,0.0
2647,0.0
4619,0.0
9187,0.0
4449,0.0
2871,0.0
6870,0.0
3404,0.0
9874,0.0
7619,0.0
8116,0.0
8459,0.0
6946,0.0
3078,0.0
4971,0.0
6867,0.0
2579,0.0
3243,0.0
5987,0.0
10042,0.0
2420,0.0
2664,0.0
8447,0.0
2395,0.0
3443,0.0
6976,0.0
8481,0.0
2513,0.0
5901,0.0
6206,0.0
3107,0.0
7685,0.0
2433,0.0
10450,0.0
2762,0.0
8898,0.0
3453,0.0
3229,0.0
10315,0.0
2665,0.0
10150,0.0
8711,0.0
7049,0.0
9571,0.0
8515,0.0
3193,0.0
5926,0.0
2400,0.0
3508,0.0
9654,0.0
4064,0.0
9564,0.0
3078,0.0
3353,0.0
3024,0.0
2308,0.0
8127,0.0
2367,0.0
3082,0.0
3667,0.0
4674,0.0
4303,0.0
7977,0.0
3802,0.0
4328,0.0
8984,0.0
3260,0.0
8157,0.0
8975,0.0
2283,0.0
5992,0.0
2088,0.0
10047,0.0
7109,0.0
2455,0.0
2611,0.0
7737,0.0
4537,0.0
10248,0.0
8273,0.0
5407,0.0
3155,0.0
3227,0.0
2503,0.0
9812,0.0
8111,0.0
3434,0.0
7547,0.0
2796,0.0
7332,0.0
5219,0.0
2614,0.0
4997,0.0
4440,0.0
3364,0.0
3657,0.0
7314,0.0
8721,0.0
2737,0.0
7435,0.0
3443,0.0
2838,0.0
2206,0.0
3158,0.0
8496,0.0
2654,0.0
7431,0.0
9649,0.0
1912,0.0
10341,0.0
2625,0.0
7436,0.0
3341,0.0
4243,0.0
7364,0.0
9279,0.0
5806,0.0
2559,0.0
3436,0.0
5732,0.0
3787,0.0
8512,0.0
2354,0.0
7842,0.0
4186,0.0
8686,0.0
2979,0.0
7301,0.0
2964,0.0
3022,0.0
7723,0.0
4144,0.0
8671,0.0
8423,0.0
3640,0.0
3060,0.0
2535,0.0
7276,0.0
9431,0.0
2745,0.0
8398,0.0
3394,0.0
2528,0.0
8428,0.0
3398,0.0
2250,0.0
5300,0.0
2970,0.0
3373,0.0
9077,0.0
3291,0.0
7071,0.0
3755,0.0
8332,0.0
8244,0.0
3456,0.0
7712,0.0
8947,0.0
8897,0.0
3223,0.0
4554,0.0
7986,0.0
6391,0.0
3574,0.0
4034,1.0
1096,1.0
799,1.0
784,1.0
6755,1.0
4864,1.0
3936,1.0
1791,1.0
1383,1.0
1737,1.0
4486,1.0
2542,1.0
3779,1.0
1781,1.0
1599,1.0
5166,1.0
3164,1.0
1583,1.0
4198,1.0
1569,1.0
8221,1.0
3933,1.0
1751,1.0
3197,1.0
5358,1.0
1800,1.0
3695,1.0
5841,1.0
1358,1.0
2716,1.0
2686,1.0
7679,1.0
2229,1.0
1681,1.0
4166,1.0
1441,1.0
1657,1.0
3343,1.0
2206,1.0
1532,1.0
5622,1.0
4870,1.0
2311,1.0
3652,1.0
2098,1.0
3634,1.0
1086,1.0
3062,1.0
2455,1.0
2605,1.0
5808,1.0
1639,1.0
5762,1.0
4186,1.0
4282,1.0
4914,1.0
5636,1.0
2053,1.0
3684,1.0
1662,1.0
3424,1.0
7785,1.0
2160,1.0
3181,1.0
512,1.0
926,1.0
1471,1.0
1554,1.0
3975,1.0
1664,1.0
1821,1.0
1629,1.0
1861,1.0
1383,1.0
6471,1.0
2964,1.0
3056,1.0
6006,1.0
1892,1.0
2462,1.0
4256,1.0
1828,1.0
3381,1.0
170,1.0
8313,1.0
6817,1.0
1168,1.0
2535,1.0
3515,1.0
3311,1.0
7069,1.0
3767,1.0
3874,1.0
1676,1.0
1861,1.0
1757,1.0
5739,1.0
5467,1.0
2311,1.0
5032,1.0
2436,1.0
5210,1.0
4840,1.0
1540,1.0
3009,1.0
1644,1.0
2244,1.0
2785,1.0
5155,1.0
4795,1.0
2183,1.0
5881,1.0
2773,1.0
1886,1.0
895,1.0
1846,1.0
5416,1.0
1227,1.0
6333,1.0
6010,1.0
1549,1.0
7618,1.0
1314,1.0
2169,1.0
1390,1.0
1525,1.0
3339,1.0
7149,1.0
3580,1.0
554,1.0
2643,1.0
2205,1.0
2685,1.0
6934,1.0
1947,1.0
6204,1.0
